store_id,product_id,product_name,category,forecast_date,forecast_units
S01,P01,Instant Coffee 200g,Beverages,2026-01-01,74.8
S01,P01,Instant Coffee 200g,Beverages,2026-01-02,71.0
S01,P01,Instant Coffee 200g,Beverages,2026-01-03,95.8
S01,P01,Instant Coffee 200g,Beverages,2026-01-04,66.2
S01,P01,Instant Coffee 200g,Beverages,2026-01-05,58.8
S01,P01,Instant Coffee 200g,Beverages,2026-01-06,63.5
S01,P01,Instant Coffee 200g,Beverages,2026-01-07,57.4
S01,P01,Instant Coffee 200g,Beverages,2026-01-08,56.5
S01,P01,Instant Coffee 200g,Beverages,2026-01-09,55.4
S01,P01,Instant Coffee 200g,Beverages,2026-01-10,76.4
S01,P01,Instant Coffee 200g,Beverages,2026-01-11,68.6
S01,P01,Instant Coffee 200g,Beverages,2026-01-12,56.2
S01,P01,Instant Coffee 200g,Beverages,2026-01-13,55.9
S01,P01,Instant Coffee 200g,Beverages,2026-01-14,54.9
S01,P02,Basmati Rice 5kg,Staples,2026-01-01,62.4
S01,P02,Basmati Rice 5kg,Staples,2026-01-02,65.7
S01,P02,Basmati Rice 5kg,Staples,2026-01-03,88.7
S01,P02,Basmati Rice 5kg,Staples,2026-01-04,83.3
S01,P02,Basmati Rice 5kg,Staples,2026-01-05,62.9
S01,P02,Basmati Rice 5kg,Staples,2026-01-06,65.0
S01,P02,Basmati Rice 5kg,Staples,2026-01-07,70.8
S01,P02,Basmati Rice 5kg,Staples,2026-01-08,64.5
S01,P02,Basmati Rice 5kg,Staples,2026-01-09,67.1
S01,P02,Basmati Rice 5kg,Staples,2026-01-10,76.9
S01,P02,Basmati Rice 5kg,Staples,2026-01-11,83.4
S01,P02,Basmati Rice 5kg,Staples,2026-01-12,64.8
S01,P02,Basmati Rice 5kg,Staples,2026-01-13,67.3
S01,P02,Basmati Rice 5kg,Staples,2026-01-14,65.3
S01,P03,Toothpaste 150g,Personal Care,2026-01-01,48.7
S01,P03,Toothpaste 150g,Personal Care,2026-01-02,51.7
S01,P03,Toothpaste 150g,Personal Care,2026-01-03,55.7
S01,P03,Toothpaste 150g,Personal Care,2026-01-04,59.3
S01,P03,Toothpaste 150g,Personal Care,2026-01-05,46.1
S01,P03,Toothpaste 150g,Personal Care,2026-01-06,46.5
S01,P03,Toothpaste 150g,Personal Care,2026-01-07,43.5
S01,P03,Toothpaste 150g,Personal Care,2026-01-08,41.7
S01,P03,Toothpaste 150g,Personal Care,2026-01-09,41.4
S01,P03,Toothpaste 150g,Personal Care,2026-01-10,50.5
S01,P03,Toothpaste 150g,Personal Care,2026-01-11,51.0
S01,P03,Toothpaste 150g,Personal Care,2026-01-12,38.7
S01,P03,Toothpaste 150g,Personal Care,2026-01-13,37.1
S01,P03,Toothpaste 150g,Personal Care,2026-01-14,38.9
S01,P04,Cooking Oil 1L,Staples,2026-01-01,66.5
S01,P04,Cooking Oil 1L,Staples,2026-01-02,64.3
S01,P04,Cooking Oil 1L,Staples,2026-01-03,87.3
S01,P04,Cooking Oil 1L,Staples,2026-01-04,85.0
S01,P04,Cooking Oil 1L,Staples,2026-01-05,60.6
S01,P04,Cooking Oil 1L,Staples,2026-01-06,60.5
S01,P04,Cooking Oil 1L,Staples,2026-01-07,53.3
S01,P04,Cooking Oil 1L,Staples,2026-01-08,59.8
S01,P04,Cooking Oil 1L,Staples,2026-01-09,58.5
S01,P04,Cooking Oil 1L,Staples,2026-01-10,73.6
S01,P04,Cooking Oil 1L,Staples,2026-01-11,70.8
S01,P04,Cooking Oil 1L,Staples,2026-01-12,56.3
S01,P04,Cooking Oil 1L,Staples,2026-01-13,56.3
S01,P04,Cooking Oil 1L,Staples,2026-01-14,59.4
S01,P05,Notebook A4 (Pack of 5),Stationery,2026-01-01,31.6
